Timestamp,Your Name,Edited By,Approved,Type of Buzz Item,Buzz Item Headline,Buzz Item Text,Text No Link Source,Text With Link Source,Text With Link URL,Small Image No Link Source,Small Image No Image URL,Small Image With Link Source,Small Image With Image URL,Small Image With Link URL,Large Image No Link Source,Large Image No Image URL,Large Image With Link Source,Large Image With Image URL,Large Image With Link URL,Video Source,Video Embed Code,Video Link URL
2/3/2015 14:37:48,John Fensterwald,,,Text With Link,New York vs California ,"EdWeek columnist Chuck Kerchner says NY and CA, both Common Core supporters, are heading in different directions, to the Empire State's peril.  ",,Education Week ,http://www.cde.ca.gov/ta/ac/pa/documents/psaafeb15item02ho1.pdf,,,,,,,,,,,,,
2/3/2015 14:38:59,John Fensterwald,,,Video,LCAP explained,WestEd has posted a new webinar on how to improve the Local Control and Accountability Plans by using data wisely; check it out,,,,,,,,,,,,,,WestEd,"<iframe src=""//player.vimeo.com/video/118616685?title=0&byline=0&portrait=0"" width=""500"" height=""375"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe> <p><a href=""http://vimeo.com/118616685"">LCAP Webinar Part 3 &ndash; Making Data Meaningful in the LCAP</a> from <a href=""http://vimeo.com/user19918963"">Glenn Miller</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>",http://vimeo.com/118616685
2/3/2015 14:44:48,John Fensterwald,,,Text With Link,API opposition ,A key advisory committee to the State Board of Education voted Wednesday to swap multiple measures of school achievement for the 3-digit Academic Performance Index. ,,CA Dept. of Education,http://www.cde.ca.gov/ta/ac/pa/documents/psaafeb15item02ho1.pdf,,,,,,,,,,,,,
2/3/2015 16:34:16,John Fensterwald,,,Text With Link,Sexual harassment,"Berkeley High students complain teachers, school ignore complaints of  groping, harassment; federal rights officials investigating",,San Francisco Chronicle,http://www.sfchronicle.com/education/article/Berkeley-girlssay-harassmentgoes-unchecked-6057709.php?t=33f96610f66398e480&cmpid=twitter-premium#/0,,,,,,,,,,,,,
2/3/2015 16:46:20,John Fensterwald,,,Small Image With Link,Reality check,"Most respondents to a recent PPIC survey believe prisons are largest state expenditure; it's 9% in Brown's budget. K-12 is biggest, 42%",,,,,,State of California 2015-16 budget,http://edsource.org/wp-content/uploads/2015/02/CAbudgetsummary15-16.jpg,http://www.ebudget.ca.gov/FullBudgetSummary.pdf,,,,,,,,
2/3/2015 16:52:46,John,,,Small Image With Link,Reality Check,"42 percent of adults in Public Policy Institute of California poll believe prison consumes the most spending in state budget; in reality, it's 9%; K-12 tops at 42 percent (page 19).",,,,,,California Budget 2015-16,http://staging.edsource.org/wp-content/uploads/2015/01/Screen-Shot-2015-01-29-at-5.47.45-PM.png,http://www.ebudget.ca.gov/FullBudgetSummary.pdf,,,,,,,,
2/3/2015 16:53:40,John Osborn,,,Large Image With Link,To Vax or Not to Vax,Political cartoonist Scott Bateman made a flowchart for parents questioning whether to vaccinate their kids. SPOILER: you might laugh.,,,,,,,,,,,Medium,http://staging.edsource.org/wp-content/uploads/2015/01/Screen-Shot-2015-01-29-at-5.59.45-PM.png,http://staging.edsource.org/wp-content/uploads/2015/01/Screen-Shot-2015-01-29-at-5.59.45-PM.png,,,
2/4/2015 8:07:12,John Fensterwald,John,,Text With Link,How California ranks,"Census Bureau reports California spent proportionally more on welfare but less on education than other states, but its 10.3% spending increase in 2012-13 topped nation. ",,U.S. Census Bureau,http://www2.census.gov/govs/state/g13-asfin.pdf ,,,,,,,,,,,,,
2/4/2015 11:12:41,John Fensterwald,Denise,yes,Text With Link,Competing with free,"Mercury News writer Sharon Nogucihi reports on districts that are moving to free, online content, posing a threat to traditional textbook publishers.",,Mercury News,http://www.mercurynews.com/education/ci_27429331/goodbye-textbooks-hello-free-online-resources,,,,,,,,,,,,,
2/4/2015 11:37:12,Michelle Noel Maitre,Denise,yes,Text With Link,Define 'good',"Students’ confidence in their ability to land a ""good job"" after graduation declines as they get older, according to a new Gallup Student Poll. ",,Gallup Student Poll,http://www.gallup.com/poll/181439/gallup-student-poll-job-confidence-lower-higher-grades.aspx,,,,,,,,,,,,,
2/4/2015 13:35:34,Tiffany Lew,Denise,yes,Text With Link,How Vaccines Cause Autism,"Vaccine safety evidence from American Academy of Pediatrics. Will make you laugh...if you're not a naysayer, that is.",,American Academy of Pediatrics,http://howdovaccinescauseautism.com/,,,,,,,,,,,,,
2/4/2015 14:01:04,John Fensterwald,John,,Text With Link,Fate of Prop. 30,Pollster and PPIC President Mark Baldassare says any hope of extending the state's temporary tax increase will ride on whether voters believe schools are using dollars smartly. ,,Fox & Hounds,http://www.foxandhoundsdaily.com/2015/02/debate-extending-proposition-30/,,,,,,,,,,,,,
